eye_contact_percentage,look_away_count,distraction_duration,session_length,confidence_label
89.18280395373651,0,2.224651499279499,14.897837076069525,Confident
74.18613785575431,0,2.030098462268734,27.843591354096908,Confident
72.60816497888248,1,0.09534803844535078,11.873904797231848,Confident
76.97982680172218,2,0.07960790905159087,13.97675301373297,Confident
89.4965331333857,2,1.258559462884976,18.984180925677073,Confident
78.34572124691988,0,2.2764221013893016,13.193186327537802,Confident
82.67843194460508,1,0.46643849943534466,29.144261444135623,Confident
80.0978363533788,0,1.1397819019120121,17.179587609692568,Confident
80.31867167436913,1,2.4213848198231407,24.59463573387636,Confident
86.08684274364103,1,0.23640059423537452,15.863565628141858,Confident
88.8591939848333,1,1.7320564357702861,24.091436724298468,Confident
71.37473150966987,0,2.319205022366076,29.704430413215157,Confident
95.65953163045441,0,1.1403786751174985,19.06820604736871,Confident
95.02331279922251,0,1.110542901350648,14.190140615429755,Confident
78.0093346614734,2,1.9441061557397807,22.182620113339766,Confident
75.13415944594291,2,0.7344327754542787,19.245204237022314,Confident
78.09843480352833,2,2.0644858752999395,14.39230347940538,Confident
79.72848203245965,0,0.6871442158923131,10.642004878080755,Confident
79.46359144177245,1,0.1985658156346417,28.2627224837109,Confident
87.01540154435507,2,0.9440336423954337,23.1087733058976,Confident
81.86895703181993,2,1.3765555577621964,15.29760332996105,Confident
77.3988252308195,2,1.6169318690018712,24.940276233045157,Confident
82.8530148188374,2,1.1982015154211918,14.386415183145667,Confident
99.9261281948533,2,1.480547504668893,25.115643150674757,Confident
95.83308728999998,0,1.8823381251092701,25.84158728725928,Confident
82.66479900399052,0,1.1543019350235002,21.917768567222563,Confident
84.04149663354032,1,2.9132351328408546,27.21559404468996,Confident
70.3444306582846,2,0.34365522895105993,27.695769002582182,Confident
92.52633398774829,2,1.0205264190931356,15.870002572948522,Confident
74.7447326303401,0,2.8614477825632405,27.51705880756388,Confident
77.90167152253272,2,2.285886597156194,20.153633492086506,Confident
73.19232468393115,2,0.8953343743458987,22.778989897320102,Confident
88.26910634314517,0,1.121741557773444,13.230980715063067,Confident
98.60499242960509,2,2.7554804831871067,21.97889168920458,Confident
84.65817124086844,0,2.7872958487938515,27.574437556463685,Confident
94.94996588083538,1,0.7183569310141764,14.817431848944661,Confident
87.0207083106673,0,0.25696035620363633,19.719809266332277,Confident
72.07637555405151,2,2.2975032879209634,12.567829289995256,Confident
